tweet_id,text,class
"""1259128006158585857""","ไขข้องใจเกษตรกรไร้เอกสารสิทธิ์ สามารถยื่นขอรับเยียวยาได้ไหม? 
#เงินเยียวยา #เงินเยียวยาเกษตรกร #เราจะไม่ทิ้งกัน #COVID19 #Covid_19 #COVID2019
http://www.topicza.com/news107449.html?d=09052020&f=90589 …",1
"""1259127592671604736""","เงินเริ่มร่อยหรอ ประกันสังคม เคาะแล้ว! ไม่จ่าย 75% คนว่างงานช่วงโควิด 
#ประกันสังคม #ประกันสังคมมาตรา39 #COVID19 #Covid_19 #COVID2019
http://www.topicza.com/news107433.html?d=09052020&f=90589 …",1
"""1259127373594673152""","ไขข้องใจเกษตรกรไร้เอกสารสิทธิ์ สามารถยื่นขอรับเยียวยาได้ไหม? 
#เงินเยียวยา #เงินเยียวยาเกษตรกร #เราจะไม่ทิ้งกัน #COVID19 #Covid_19 #COVID2019http://www.topicza.com/news107449.html?d=09052020&f=90589 …",1
"""1259126509975097346""","บุคลากรในทำเนียบขาวติดเชื้อ #โควิด19 กันเพียบ ขณะที่ ""ทรัมป์"" ประธานาธิบดีสหรัฐ ยังเดินหน้าเปิดกิจกรรมทางเศรษฐกิจ #SanookNews #Sanook #ข่าววันนี้ #โควิด_19 #ไวรัสโคโรนา #โควิด19 #Covid_19 #COVID19 https://www.sanook.com/news/8130170/?utm_echo=echobox&utm_medium=Social&utm_source=Twitter#Echobox=1589012930 …",1
"""1259119806726287360""",คัดให้ลูกค้าอย่างดีทุกลูก ขอบคุณลูกค้าที่อุดหนุนค่ะ#ทุเรียนหมอนทอง #ทุเรียน #Covid_19 #COVID19 #COVIDー19 #อยู่บ้านหยุดเชื้อเพื่อชาติ #workingfromhome #ตลาดนัดประชาธิปไตยออนไลน์ #อร่อยไปแดก #ทวิตดีคนรีน้อยpic.twitter.com/UvkrHd0x16,0
"""1259118774361272320""","ผบ.ตร.สั่งการเด็ดขาดคดี""5ครู2ศิษย์""แต่ได้ประกันแล้ว 

https://www.kengnews.co/63449?d199  #shoppee #บราวนี่ #COVIDー19 #Covid_19 #COVID19",0
"""1259117165711626241""","“ปธน.ทรัมป์” ไม่หวั่น โควิด-19 ระบาดในทำเนียบขาว แต่ยกระดับมาตรการรักษาความปลอดภัยสูงขึ้น

#กรุงเทพธุรกิจ #กรุงเทพธุรกิจออนไลน์ #COVID19 #โควิด19 #โควิด_19 #COVID_19
https://www.bangkokbiznews.com/news/detail/879772 …",1
"""1259109451379863552""","สถานการณ์ COVID-19 สรุปยอด ณ วันที่ 9 พ.ค. 63 เวลา 19.30 น. 

#ไวรัสปอดอักเสบ #โควิด19 #โคโรนาไวรัส #Covid_19 #COVID2019 #COVID19 #ไวรัสโคโรนาสายพันธุ์ใหม่2019 #coronavirus #ไวรัสโคโรนา #ไวรัสโคโรน่าสายพันธุ์ใหม่ #Infographic #กรุงเทพธุรกิจ #กรุงเทพธุรกิจออนไลน์pic.twitter.com/AqnOhwfZc0",1
"""1259105845511512069""","นักวิทยาศาสตร์ พบแอนติบอดี #ลามะ ออกฤทธิ์ต้าน ""ไวรัสซาร์สซีโอวีทู"" เล็งพัฒนาเป็นวัคซีนสังเคราะห์ ลดความรุนแรงในผู้ป่วยโควิด-19 

#กรุงเทพธุรกิจ #กรุงเทพธุรกิจออนไลน์ #COVID19 #โควิด19 #โควิด_19 #COVID_19
https://www.bangkokbiznews.com/news/detail/879769 …",1
"""1259103823261556736""",กลั้นน้ำตาไม่อยู่ ตา-ยายกลับบ้านแล้วหลังป่วยโควิด-19 แพทย์-พยาบาลให้กำลังใจแน่น #SanookNews #Sanook #ข่าววันนี้ #โควิด_19 #ไวรัสโคโรนา #โควิด19 #Covid_19 #COVID19 https://www.sanook.com/news/8129939/?utm_echo=echobox&utm_medium=Social&utm_source=Twitter#Echobox=1589008574 …,1
"""1259097476449132544""","""แมทธิว ดีน"" บริจาคพลาสมา นำไปใช้ในการรักษาผู้ป่วยโควิด-19 สภากาชาดไทย เชิญชวนผู้ป่วยที่หายแล้ว ร่วมบริจาคพลาสมา #SanookNews #Sanook #ข่าววันนี้ #โควิด_19 #ไวรัสโคโรนา #โควิด19 #Covid_19 #COVID19
https://www.sanook.com/news/8129799/?utm_echo=echobox&utm_medium=Social&utm_source=Twitter#Echobox=1589005701 …",1
"""1259093195759087616""",ชุดเซทเซทละ180 ค่าส่ง40บาทค่ะ  มีอีกหลายลายหลายแบบหลายสีเลยนะคะ ขอดูเพิ่มเติมได้น้า  id:nntdwp #เราไม่ทิ้งกัน #โควิด19 #COVID19 #Covid_19 #ชุดเซ็ท #เสื้อผ้าแฟชั่นpic.twitter.com/B8JYITX5eO,0
"""1259084995244617728""","แมสพร้อมส่ง ทักมาสอบถามก่อนได้นะคะ
#carryminati #Covid_19 #COVID19 #แมส #แมสราคาถูก #COVID2019 #COVID__19 #dek63pic.twitter.com/6BoLaf4s6q",0
"""1259082178438332417""",องค์การอนามัยโลก เชื่อว่าตลาดสดในเมืองอู่ฮั่น อาจมีบทบาทสำคัญในการระบาดของโคโรนาไวรัสสายพันธุ์ใหม่ 2019 #SanookNews #Sanook #ข่าววันนี้ #โควิด_19 #ไวรัสโคโรนา #โควิด19 #Covid_19 #COVID19 https://www.sanook.com/news/8129426/?utm_echo=echobox&utm_medium=Social&utm_source=Twitter#Echobox=1588994675 …,1
"""1259082005645365253""","ทำไมเปิดร้านแล้ว ทำฉากกั้น จัดโต๊ะห่างกัน ถึงยังไม่มีลูกค้าเข้ามาทานที่ร้านเลยครับ
https://pantip.com/topic/39866318 
#Covid_19
#COVID19",0
"""1259080230683230209""","[COVID-19 World Ranking]
สถิติผู้ติดเชื้อไวรัสโคโรน่า(COVID-19) 10 อันดับของโลก 
วันที่ 9 พฤษภาคม 2563 เวลา 17.50 น.

-ยอดผู้ติดเชื้อ 4,032,719 ราย
-เสียชีวิต 276,677 ราย
-รักษาหายแล้ว 1,399,714 ราย

#COVID19 #Covid_19
#สวูสู้โควิด #โควิด19pic.twitter.com/x4Y0bHrjmx",1
"""1259060544646111233""","“สหภาพยุโรป” จ่อขยายเวลาห้ามต่างชาติเดินทางเข้าประเทศ จนถึงกลางเดือนมิ.ย. หวังสกัดโควิด-19

#กรุงเทพธุรกิจ #กรุงเทพธุรกิจออนไลน์ #COVID19 #โควิด19 #โควิด_19 #COVID_19
https://www.bangkokbiznews.com/news/detail/879762 …",1
"""1259056767662559232""","กระทรวงการต่างประเทศ #สหรัฐ เผย ‘จีน-รัสเซีย"" รวมหัวปล่อยข่าวออนไลน์ หวังชวนเชื่อประชาชน และปกป้องการเข้าถึงข้อเท็จจริงแพร่ระบาดโควิด-19

#กรุงเทพธุรกิจ #กรุงเทพธุรกิจออนไลน์ #COVID19 #โควิด19 #โควิด_19 #COVID_19
https://www.bangkokbiznews.com/news/detail/879760 …",1
"""1259045444321148928""","""องค์การอนามัยโลก"" เตรียมปล่อย “แอพพลิเคชันคัดกรองโควิด"" ในปลายเดือน พ.ค.นี้ เล็งใช้ฟีเจอร์ติดตามผู้ติดเชื้อด้วยบลูทูธ 

#กรุงเทพธุรกิจ #กรุงเทพธุรกิจออนไลน์ #COVID19 #โควิด19 #โควิด_19 #COVID_19
https://www.bangkokbiznews.com/news/detail/879757 …",1
"""1259045358413414400""",หมอมนูญ ทำให้ดูเป็นตัวอย่าง เข้าร้านตัดผมให้ปลอดภัยจากโควิด ใช้เทปปิดหน้ากากอนามัยให้แน่น #SanookNews #Sanook #ข่าววันนี้ #โควิด_19 #ไวรัสโคโรนา #โควิด19 #Covid_19 #COVID19 https://www.sanook.com/news/8130258/?utm_echo=echobox&utm_medium=Social&utm_source=Twitter#Echobox=1589013940 …,1
"""1259043940776341504""","อยากเรียนออนดีมานด์ จะเริ่มตรงไหนดี ? 
มาทดลองก่อนเรียนจริง...ที่ออนดีมานด์ช่วยได้จ้า 
#ออนดีมานด์บ้านหาดใหญ่
#LearnAnywhere #Dek64 #Dek65 #Dek66 #มอต้น #ประถม #ปรับพื้นฐาน #โควิด19 #โควิด19เราต้องรอด #covid19 #covid_19 pic.twitter.com/Opf1DlxSxQ",0
"""1259027624728428544""","ผลิตภัณฑ์น้ำยาซักผ้า (Liquid Detergent)
แกลลอนละ 250฿ (ไม่รวมส่ง)
ยกลัง(6แกลลอน) 1400฿
สนใจสอบถามทาง DM
#ขายของ #ตลาดนัดออนไลน์ประชาธิปไตย #ตลาดนัดขายของ #ผลิตภัณฑ์น้ำยาซักผ้า #ราคาถูก #COVID19 #Covid_19 #COVID2019
#ทวงคืนไทน์จากสารวัตร #coronavirus #방탄소년단pic.twitter.com/0pGZpJ8VUf",0
"""1259023021123276801""",โฆษก ศบค. แจงเร่งรับฟังความเห็นก่อนปลดล็อกเฟส 2 รับอาจมีการทดลองเปิดห้าง เพื่อประเมินสถานการณ์ #SanookNews #Sanook #ข่าววันนี้ #โควิด_19 #ไวรัสโคโรนา #โควิด19 #Covid_19 #COVID19 https://www.sanook.com/news/8130015/?utm_echo=echobox&utm_medium=Social&utm_source=Twitter#Echobox=1589008541 …,1
